Year-State,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2018-CA,11.2,7.8,14.8,66.7,74.3,58.9,22.1,18.0,26.3
2017-CA,11.3,7.8,14.9,66.4,73.6,59.0,22.3,18.6,26.0
2016-CA,11.0,8.2,13.8,66.0,73.0,58.7,23.1,18.8,27.4
2015-CA,11.7,8.3,15.2,65.3,72.9,57.6,23.0,18.9,27.2
2014-CA,12.8,9.5,16.3,64.3,72.4,56.1,22.8,18.2,27.6
2013-CA,12.5,9.1,16.1,64.7,72.0,57.1,22.8,19.0,26.8
2012-CA,12.6,10.1,15.2,63.6,70.1,56.9,23.8,19.9,27.9
2011-CA,13.7,10.0,17.3,62.5,70.1,54.8,23.9,19.9,27.9
2019-CO,13.5,11.9,15.1,61.0,65.8,56.1,25.5,22.3,28.8
2018-CO,14.5,12.4,16.6,59.7,64.4,54.9,25.9,23.3,28.5
2017-CO,14.6,12.6,16.6,59.8,64.8,54.9,25.6,22.7,28.5
2016-CO,15.6,13.5,17.7,59.5,64.4,54.5,24.9,22.1,27.8
2015-CO,15.6,14.2,17.1,57.7,62.8,52.6,26.6,23.0,30.3
2014-CO,15.7,14.6,16.9,57.8,62.6,52.9,26.5,22.8,30.3
2013-CO,17.7,16.4,19.0,56.1,60.4,51.8,26.2,23.2,29.2
2012-CO,17.7,16.3,19.2,56.0,60.8,51.0,26.3,22.9,29.8
2011-CO,18.3,15.2,21.3,54.6,60.1,49.2,27.1,24.8,29.5
2019-CT,12.1,10.6,13.7,62.7,65.4,59.9,25.2,24.1,26.4
2018-CT,12.2,10.8,13.6,60.6,63.5,57.5,27.2,25.7,28.9
2017-CT,12.7,11.5,14.1,61.3,64.0,58.3,26.0,24.5,27.6
2016-CT,13.3,12.0,14.8,59.4,63.0,55.6,27.2,25.0,29.6
2015-CT,13.5,10.9,16.3,59.1,64.2,53.5,27.4,24.9,30.2
2014-CT,15.4,13.5,17.5,56.9,60.1,53.5,27.7,26.4,29.1
2013-CT,15.5,14.3,16.8,56.3,59.1,53.3,28.2,26.6,29.9
2012-CT,16.0,13.7,18.5,55.3,58.9,51.5,28.7,27.4,30.1
2011-CT,17.1,15.4,19.0,55.1,57.7,52.2,27.8,26.9,28.8
2019-DE,15.9,16.0,15.8,57.8,60.9,54.3,26.3,23.1,29.8
2018-DE,16.5,14.9,18.3,57.8,60.7,54.6,25.7,24.4,27.1
2017-DE,17.0,16.2,17.9,57.9,62.8,52.6,25.1,21.0,29.5
2016-DE,17.7,16.4,19.0,55.5,59.3,51.4,26.8,24.3,29.6
2015-DE,17.4,14.2,20.9,55.6,61.6,48.9,27.0,24.2,30.2
2014-DE,19.9,16.6,23.5,55.5,61.9,48.5,24.6,21.5,28.0
2013-DE,19.6,17.3,22.0,55.0,59.3,50.3,25.4,23.3,27.7
2012-DE,19.7,18.9,20.7,53.4,57.4,49.0,26.9,23.7,30.3
2011-DE,21.8,18.3,25.5,49.9,54.7,44.7,28.3,27.0,29.7
2019-DC,12.7,9.8,16.1,66.6,70.9,61.7,20.6,19.3,22.1
2018-DC,13.8,12.6,15.1,65.4,69.6,60.6,20.9,17.8,24.3
2017-DC,14.3,11.3,17.8,67.2,72.3,61.4,18.4,16.4,20.8
2016-DC,14.7,12.1,17.7,66.1,70.2,61.5,19.2,17.7,20.9
2015-DC,16.0,16.1,15.8,62.5,64.9,59.8,21.5,18.9,24.4
2014-DC,16.4,14.6,18.4,64.5,66.5,62.3,19.1,18.9,19.3
2013-DC,18.8,14.7,23.4,59.8,66.0,52.8,21.4,19.3,23.8
2012-DC,19.6,17.0,22.6,59.5,64.9,53.3,20.9,18.1,24.1
2011-DC,20.8,17.1,25.1,57.2,61.9,51.7,22.0,20.9,23.2
2019-FL,14.8,13.9,15.7,58.9,62.7,54.8,26.3,23.3,29.5
2018-FL,14.5,12.8,16.2,58.1,62.6,53.3,27.4,24.6,30.4
2017-FL,16.1,13.5,18.8,59.0,64.3,53.3,24.9,22.1,27.9
2016-FL,15.5,13.3,17.8,58.0,64.3,51.3,26.5,22.4,30.9
2015-FL,15.8,14.3,17.4,56.2,60.9,51.2,28.0,24.8,31.4
2014-FL,17.6,15.5,20.0,54.6,59.8,48.9,27.8,24.7,31.1
2013-FL,16.8,14.4,19.5,55.0,60.7,48.9,28.1,24.9,31.6
2012-FL,17.7,15.8,19.7,54.5,60.7,47.9,27.8,23.5,32.5
2011-FL,19.3,16.9,21.8,52.8,58.4,46.8,27.9,24.7,31.4
2019-GA,16.3,13.9,19.0,61.8,68.2,54.7,21.9,17.9,26.3
2018-GA,16.1,14.6,17.7,62.4,67.5,56.9,21.5,17.9,25.4
2017-GA,17.5,14.3,20.9,62.2,68.6,55.3,20.3,17.1,23.8
2016-GA,17.9,14.8,21.2,61.2,66.3,55.7,20.9,18.9,23.0
2015-GA,17.7,15.5,20.0,60.1,66.1,53.6,22.2,18.3,26.4
2014-GA,17.4,13.6,21.4,60.2,67.8,52.1,22.4,18.6,26.5
2013-GA,18.8,15.4,22.6,60.5,67.6,52.9,20.6,17.0,24.5
2012-GA,20.4,17.4,23.5,58.5,65.7,50.7,21.1,16.8,25.8
2011-GA,21.2,18.2,24.3,56.7,62.8,50.1,22.1,18.9,25.5
2019-HI,12.3,9.4,15.2,62.3,68.7,55.9,25.4,21.9,28.9
2018-HI,13.4,10.9,15.8,60.6,66.9,54.3,26.0,22.2,29.9
2017-HI,12.8,9.4,16.1,60.5,68.3,52.8,26.7,22.3,31.1
2016-HI,13.1,10.9,15.1,61.6,68.4,54.9,25.4,20.7,29.9
2015-HI,14.1,10.8,17.3,60.6,67.1,54.2,25.3,22.0,28.5
2014-HI,14.1,12.1,16.2,59.9,65.1,54.8,25.9,22.8,29.1
2013-HI,13.3,11.0,15.7,59.4,65.6,53.1,27.3,23.3,31.2
2012-HI,14.6,11.6,17.5,59.8,66.7,52.9,25.6,21.7,29.6
2011-HI,16.8,13.9,19.7,57.3,63.8,50.8,25.9,22.3,29.5
2019-ID,15.3,13.9,16.8,61.1,66.9,55.2,23.5,19.2,28.0
2018-ID,14.7,13.6,15.9,61.9,67.2,56.5,23.4,19.2,27.7
2017-ID,14.3,13.1,15.7,61.8,66.8,56.7,23.9,20.1,27.7
2016-ID,14.5,14.3,14.7,62.0,64.2,59.7,23.5,21.5,25.6
2015-ID,13.8,13.0,14.6,62.5,66.6,58.4,23.6,20.3,26.9
2014-ID,15.9,15.5,16.4,60.2,64.3,56.0,23.9,20.3,27.6
2013-ID,17.2,15.0,19.4,58.2,63.9,52.3,24.7,21.0,28.3
2012-ID,16.4,16.6,16.3,59.3,61.0,57.5,24.3,22.4,26.2
2011-ID,17.2,15.0,19.4,58.5,64.0,52.8,24.4,21.0,27.7
2019-IL,14.5,12.1,17.0,60.3,65.8,54.5,25.2,22.1,28.5
2018-IL,15.5,12.1,18.9,61.7,68.8,54.5,22.8,19.1,26.6
2017-IL,15.5,13.8,17.3,61.5,66.7,56.0,23.0,19.6,26.7
2016-IL,15.8,13.0,18.7,60.1,66.1,53.7,24.1,20.8,27.6
2015-IL,15.1,12.8,17.6,60.5,65.4,55.3,24.4,21.8,27.2
2014-IL,16.5,14.5,18.7,59.5,64.8,53.9,24.0,20.8,27.4
2013-IL,18.0,15.0,21.2,57.2,62.1,51.9,24.8,22.8,26.9
2012-IL,18.6,16.2,21.1,57.0,63.2,50.4,24.4,20.6,28.5
2011-IL,20.9,17.8,24.2,54.7,60.8,48.4,24.4,21.5,27.4
2019-IN,19.2,17.3,21.2,55.9,61.1,50.4,24.9,21.6,28.4
2018-IN,21.1,19.0,23.3,55.0,60.8,48.9,23.9,20.2,27.8
2017-IN,21.8,20.2,23.5,53.7,58.4,48.7,24.5,21.4,27.8
2016-IN,21.1,18.8,23.6,54.4,60.7,47.7,24.5,20.5,28.7
2015-IN,20.6,19.3,21.9,53.9,60.8,46.6,25.5,19.9,31.5
2014-IN,22.9,21.5,24.5,53.0,58.0,47.8,24.1,20.6,27.7
2013-IN,21.9,20.4,23.5,52.9,57.7,47.8,25.2,21.9,28.7
2012-IN,24.0,21.6,26.5,52.4,58.8,45.6,23.7,19.6,28.0
2011-IN,25.6,23.8,27.6,49.7,54.7,44.4,24.7,21.6,28.1
2019-IA,16.4,14.8,17.9,59.4,64.7,54.1,24.2,20.5,28.0
2018-IA,16.6,15.3,18.0,59.0,65.5,52.4,24.4,19.2,29.7
2017-IA,17.1,15.8,18.5,58.3,63.3,53.1,24.6,21.0,28.4
2016-IA,16.7,15.8,17.7,58.0,63.2,52.7,25.3,21.0,29.6
2015-IA,18.1,16.7,19.5,56.3,61.6,50.8,25.6,21.7,29.7
2014-IA,18.5,17.2,19.9,55.9,61.9,49.6,25.7,21.0,30.6
2013-IA,19.5,16.6,22.5,56.1,62.2,49.9,24.4,21.2,27.7
2012-IA,18.1,16.5,19.8,56.9,62.9,50.5,25.0,20.6,29.7
2011-IA,20.4,18.6,22.2,54.6,60.5,48.4,25.0,20.9,29.4
2019-KS,16.2,16.0,16.4,59.2,63.4,54.9,24.6,20.5,28.7
2018-KS,17.2,16.3,18.3,58.2,62.1,54.1,24.6,21.6,27.7
2017-KS,17.4,16.4,18.3,58.3,62.8,53.7,24.3,20.8,28.0
2016-KS,17.2,15.7,18.7,58.7,63.6,53.8,24.1,20.7,27.5
2015-KS,17.7,16.1,19.3,58.1,63.4,52.7,24.1,20.4,28.0
2014-KS,18.1,16.7,19.5,58.3,62.7,53.7,23.6,20.6,26.7
2013-KS,20.0,17.8,22.3,55.9,61.8,49.8,24.0,20.4,27.8
2012-KS,19.4,17.7,21.1,56.9,61.5,52.1,23.8,20.8,26.8
2011-KS,22.0,19.5,24.6,55.6,60.8,50.2,22.4,19.7,25.2
2019-KY,23.6,25.1,22.1,51.4,54.4,48.2,25.0,20.5,29.7
2018-KY,23.4,23.3,23.2,49.7,53.3,46.0,27.0,23.3,30.8
2017-KY,24.6,22.4,26.9,49.8,55.1,44.3,25.6,22.6,28.8
2016-KY,24.5,24.0,25.0,50.7,54.6,46.6,24.8,21.4,28.4
2015-KY,25.9,25.5,26.4,48.9,54.0,43.5,25.1,20.4,30.1
2014-KY,26.2,25.2,27.2,48.4,53.1,43.3,25.5,21.7,29.5
2013-KY,26.5,24.6,28.4,47.5,52.7,42.2,26.0,22.7,29.4
2012-KY,28.3,26.1,30.6,46.2,52.7,39.4,25.5,21.2,30.0
2011-KY,29.0,26.6,31.6,46.8,51.7,41.5,24.2,21.8,26.9
2019-LA,21.9,19.8,24.1,55.2,61.6,48.4,22.9,18.6,27.5
2018-LA,20.5,18.3,22.8,56.9,62.9,50.5,22.6,18.7,26.7
2017-LA,23.1,21.0,25.4,54.0,58.9,48.5,22.9,20.1,26.1
2016-LA,22.8,20.2,25.5,54.3,60.9,47.2,23.0,19.0,27.2
2015-LA,21.9,19.3,24.7,55.7,61.6,49.2,22.5,19.1,26.1
2014-LA,24.0,20.7,27.6,53.8,60.5,46.6,22.2,18.8,25.8
2013-LA,23.5,20.0,27.3,53.9,61.5,45.6,22.6,18.4,27.1
2012-LA,24.8,21.1,28.6,53.4,60.4,45.8,21.9,18.5,25.5
2011-LA,25.7,22.3,29.5,52.2,58.7,45.2,22.0,19.0,25.3
2019-ME,17.6,15.4,19.9,52.0,56.0,47.8,30.4,28.6,32.3
2018-ME,17.8,15.5,20.1,50.3,54.2,46.3,31.9,30.4,33.6
2017-ME,17.3,14.3,20.5,51.0,56.5,45.1,31.7,29.1,34.5
2016-ME,19.8,18.0,21.6,48.2,52.7,43.5,32.0,29.3,34.9
2015-ME,19.5,18.1,21.0,48.9,53.1,44.5,31.6,28.9,34.5
2014-ME,19.3,17.8,21.0,48.7,52.5,44.6,32.0,29.7,34.5
2013-ME,20.2,18.2,22.4,48.7,53.1,44.0,31.1,28.7,33.6
2012-ME,20.3,17.8,23.0,48.6,53.1,43.7,31.1,29.2,33.2
