Year-State,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2017-NV,17.6,15.8,19.4,58.5,64.9,52.0,24.0,19.3,28.6
2016-NV,16.5,14.1,18.9,59.1,64.9,53.2,24.4,21.0,27.9
2015-NV,17.5,14.6,20.5,56.9,61.7,52.0,25.6,23.7,27.5
2014-NV,17.0,13.7,20.2,59.0,64.4,53.5,24.0,21.9,26.3
2013-NV,19.4,18.1,20.6,58.1,61.0,55.3,22.5,20.9,24.1
2012-NV,18.1,16.4,19.9,57.4,62.0,52.8,24.5,21.6,27.4
2011-NV,22.9,20.2,25.6,52.5,57.4,47.7,24.6,22.4,26.8
2019-NH,15.9,14.7,17.1,53.8,56.2,51.4,30.3,29.0,31.6
2018-NH,15.6,15.3,16.0,54.9,56.0,53.5,29.5,28.7,30.4
2017-NH,15.7,14.5,16.8,54.0,56.5,51.3,30.3,28.9,31.8
2016-NH,18.0,17.6,18.5,53.6,55.6,51.6,28.4,26.8,29.9
2015-NH,15.9,15.4,16.5,53.8,55.4,52.1,30.3,29.2,31.4
2014-NH,17.5,16.7,18.4,52.4,55.4,49.3,30.1,28.0,32.4
2013-NH,16.2,15.8,16.7,52.7,55.1,50.2,31.0,29.0,33.1
2012-NH,17.2,14.5,20.0,51.3,55.3,47.1,31.6,30.3,32.9
2011-NH,19.4,18.5,20.4,51.3,52.8,49.8,29.2,28.7,29.8
2019-NJ,,,,,,,,,
2018-NJ,13.1,11.7,14.5,63.1,67.1,58.8,23.9,21.2,26.7
2017-NJ,13.7,11.5,16.1,61.0,66.0,55.5,25.3,22.5,28.4
2016-NJ,14.0,13.1,14.9,62.3,66.4,58.0,23.7,20.6,27.1
2015-NJ,13.5,11.5,15.7,61.3,65.0,57.2,25.2,23.5,27.1
2014-NJ,15.1,12.6,17.8,60.6,64.9,56.0,24.3,22.5,26.2
2013-NJ,15.7,13.9,17.5,58.6,62.2,54.7,25.8,23.9,27.7
