Year-State,Inactive-Female,Inactive-Male,Inactive-Overall,Obese-Female,Obese-Male,Obese-Overall,Diabetic-Female,Diabetic-Male,Diabetic-Overall,Stroke-Female,Stroke-Male,Stroke-Overall,Coronary Disease-Female,Coronary Disease-Male,Coronary Disease-Overall,Heart Attack-Female,Heart Attack-Male,Heart Attack-Overall,Major CV Disease-Female,Major CV Disease-Male,Major CV Disease-Overall,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2019-KS,72.5,74.1,73.3,37.5,35.3,36.3,9.1,10.3,9.6,2.6,2.6,2.6,2.4,4.0,3.2,2.5,5.0,7.1,5.8,8.5,7.1,16.2,16.0,16.4,59.2,63.4,54.9,24.6,20.5,28.7
2019-KY,67.2,69.4,68.3,39.2,35.6,37.3,11.5,12.5,11.9,4.5,4.2,4.3,5.0,5.1,5.0,4.2,7.0,10.3,9.6,11.3,10.3,23.6,25.1,22.1,51.4,54.4,48.2,25.0,20.5,29.7
2019-LA,65.8,71.3,68.4,39.4,34.6,36.9,10.9,11.9,11.4,4.4,3.9,4.1,4.0,4.6,4.3,3.2,5.0,9.2,8.8,9.7,9.2,21.9,19.8,24.1,55.2,61.6,48.4,22.9,18.6,27.5
2019-ME,71.7,70.3,71.0,31.3,33.7,32.5,8.2,9.4,8.8,3.5,2.5,3.0,3.0,4.7,3.8,3.0,5.8,8.1,7.2,9.2,8.1,17.6,15.4,19.9,52.0,56.0,47.8,30.4,28.6,32.3
2019-MD,75.9,78.6,77.2,34.9,30.7,32.8,9.2,10.4,9.7,2.5,2.9,2.7,1.8,3.4,2.5,2.0,4.2,6.2,4.8,7.7,6.2,12.7,11.3,14.2,65.2,69.1,61.0,22.1,19.6,24.8
2019-MA,73.8,74.5,74.1,23.6,26.5,25.1,6.4,8.4,7.3,1.9,2.3,2.1,2.4,4.0,3.1,2.7,4.7,6.4,5.2,7.9,6.4,12.0,9.8,14.5,62.6,65.8,59.2,25.3,24.4,26.3
2019-MI,75.5,75.4,75.4,38.1,35.5,36.7,9.0,10.1,9.5,3.3,2.8,3.0,3.0,4.4,3.6,2.5,5.0,7.7,6.8,8.9,7.7,18.7,17.2,20.2,54.8,59.2,50.1,26.5,23.5,29.7
2019-MN,81.4,79.5,80.4,29.5,31.6,30.6,7.1,8.3,7.7,1.9,2.6,2.2,1.9,3.7,2.7,2.0,4.2,6.0,4.6,7.5,6.0,14.6,13.0,16.3,59.8,63.7,55.8,25.6,23.3,27.9
2019-MS,61.3,65.3,63.3,46.4,37.2,41.7,13.4,13.1,13.2,5.3,3.4,4.4,3.5,5.0,4.2,3.9,5.9,9.7,8.8,10.8,9.7,20.4,16.9,24.2,57.7,65.3,49.4,21.9,17.8,26.4
2019-MO,69.3,71.1,70.2,35.0,35.8,35.4,8.6,9.5,9.0,3.4,3.5,3.4,3.0,4.3,3.6,3.4,5.6,8.4,7.2,9.7,8.4,19.6,18.7,20.6,53.8,58.2,49.2,26.6,23.1,30.2
2019-MT,81.3,81.5,81.4,30.1,27.2,28.6,6.3,6.6,6.4,2.5,2.7,2.6,2.2,4.1,3.1,2.8,5.1,7.1,5.8,8.6,7.1,16.6,16.5,16.7,56.7,59.4,54.0,26.7,24.1,29.2
2019-NE,73.4,73.9,73.6,35.2,34.5,34.8,8.3,10.0,9.1,2.6,2.4,2.5,2.4,3.8,3.1,2.4,4.4,6.6,5.7,7.5,6.6,14.7,13.6,15.7,60.6,64.8,56.3,24.7,21.5,28.0
2019-NV,72.7,75.7,74.3,30.5,32.4,31.4,9.7,10.4,10.0,2.1,4.1,3.0,3.6,5.1,4.3,3.7,5.1,8.5,7.3,9.9,8.5,15.7,13.9,17.5,59.8,66.3,53.3,24.5,19.8,29.3
2019-NH,76.6,81.4,79.0,31.3,33.2,32.3,7.1,8.8,7.9,2.1,2.2,2.2,1.8,3.8,2.8,2.2,3.9,5.8,4.6,7.2,5.8,15.9,14.7,17.1,53.8,56.2,51.4,30.3,29.0,31.6
2019-NM,73.7,76.5,75.0,34.1,32.1,33.0,10.9,10.9,10.9,2.5,2.1,2.3,2.1,2.7,2.4,3.0,3.8,6.1,5.7,6.5,6.1,16.0,13.8,18.3,59.4,65.9,52.6,24.6,20.3,29.1
2019-NY,71.3,75.3,73.2,28.2,27.1,27.6,8.7,9.8,9.2,2.6,2.6,2.6,2.6,3.9,3.2,2.4,4.5,6.7,5.7,7.9,6.7,12.7,11.3,14.2,63.8,67.6,59.6,23.6,21.2,26.2
2019-NC,72.7,75.6,74.1,38.3,30.7,34.4,11.4,9.7,10.6,4.3,3.4,3.9,3.2,4.7,3.9,2.9,4.9,8.3,7.7,9.1,8.3,18.5,16.4,20.7,57.4,63.3,50.9,24.1,20.3,28.4
2019-ND,72.2,71.9,72.1,34.6,38.3,36.5,7.3,9.0,8.2,1.6,2.7,2.2,1.9,3.8,2.8,2.3,5.0,6.5,4.7,8.3,6.5,17.0,16.0,18.1,60.2,65.4,55.2,22.8,18.6,26.8
2019-OH,70.9,74.4,72.6,36.3,34.7,35.4,9.3,11.1,10.1,3.3,3.4,3.3,2.9,4.8,3.7,3.3,5.8,8.3,7.0,9.9,8.3,20.8,20.0,21.6,55.0,59.7,49.9,24.2,20.3,28.5
2019-OK,65.3,67.8,66.5,38.0,37.3,37.7,10.3,12.0,11.1,4.0,4.0,4.0,4.1,5.4,4.7,3.3,5.8,9.9,9.2,10.7,9.9,18.9,16.8,21.1,55.8,61.6,49.8,25.3,21.6,29.1
2019-OR,76.3,76.7,76.5,29.4,29.3,29.4,7.3,7.6,7.4,2.7,2.5,2.6,3.1,2.9,3.0,2.5,4.5,6.8,6.3,7.4,6.8,14.5,13.6,15.4,58.6,63.0,53.9,27.0,23.4,30.7
2019-PA,74.8,76.4,75.6,34.0,34.1,34.0,9.0,9.2,9.1,2.9,3.3,3.1,2.8,3.8,3.3,2.5,4.7,7.3,6.5,8.4,7.3,17.3,16.5,18.2,56.3,60.6,51.8,26.4,22.9,30.1
2019-RI,72.3,75.8,74.0,28.6,31.7,30.1,7.5,10.7,9.1,1.9,2.4,2.1,2.0,4.7,3.3,2.2,4.5,6.7,4.9,8.7,6.7,13.3,11.4,15.3,60.0,63.4,56.2,26.7,25.1,28.4
2019-SC,69.6,73.9,71.7,37.6,34.6,36.1,11.3,11.9,11.5,3.2,4.5,3.8,2.9,5.0,3.8,3.0,5.7,8.7,7.0,10.8,8.7,17.5,15.8,19.5,56.9,63.1,50.1,25.5,21.1,30.4
2019-SD,70.1,71.6,70.9,33.3,34.5,33.9,8.1,10.4,9.2,2.4,2.3,2.4,2.9,4.7,3.7,2.9,5.6,7.2,6.0,8.4,7.2,18.3,17.8,18.8,55.5,61.1,50.0,26.2,21.1,31.2
2019-TN,68.3,73.8,70.9,37.3,37.8,37.5,11.3,13.2,12.2,4.2,3.9,4.0,3.3,5.5,4.3,3.3,6.1,9.5,8.2,11.0,9.5,19.9,18.9,20.9,54.8,59.7,49.6,25.3,21.5,29.4
2019-TX,70.8,75.1,72.9,35.8,33.7,34.7,10.8,12.9,11.9,4.0,3.1,3.6,2.4,3.5,3.0,2.7,5.0,7.9,7.3,8.5,7.9,14.7,11.3,18.2,65.1,72.0,58.0,20.2,16.7,23.8
2019-UT,80.7,82.3,81.5,30.1,30.7,30.3,7.6,8.8,8.2,2.2,2.1,2.1,1.7,3.0,2.3,1.8,3.8,5.6,4.5,6.8,5.6,7.9,5.8,10.0,75.5,81.9,69.0,16.6,12.4,20.9
2019-VT,82.2,79.9,81.1,25.9,27.9,26.9,6.4,8.0,7.2,1.9,2.8,2.4,2.5,3.8,3.1,2.3,5.5,6.9,5.4,8.6,6.9,15.1,13.8,16.5,55.2,58.6,51.7,29.6,27.6,31.8
2019-VA,73.8,76.8,75.3,34.6,30.5,32.5,9.1,10.6,9.8,2.8,3.0,2.9,1.9,4.0,2.9,2.3,4.9,6.9,5.6,8.4,6.9,14.0,12.8,15.3,62.9,66.8,58.7,23.1,20.4,26.0
2019-WA,80.7,81.5,81.1,28.5,29.2,28.9,7.8,9.3,8.5,2.2,2.7,2.5,2.2,3.6,2.8,2.0,4.2,6.4,5.0,8.0,6.4,12.6,11.7,13.6,62.2,65.8,58.6,25.1,22.5,27.8
2019-WV,68.5,73.0,70.7,41.2,40.7,40.9,12.7,13.6,13.1,4.4,4.1,4.2,4.9,7.8,6.2,5.1,8.4,11.9,10.4,13.7,11.9,23.8,23.2,24.4,49.9,54.9,44.6,26.4,22.0,31.0
2019-WI,75.0,79.9,77.4,36.1,33.1,34.5,7.0,7.8,7.3,1.9,2.5,2.2,1.5,4.3,2.8,1.5,4.2,5.7,4.0,7.6,5.7,15.4,13.6,17.2,57.8,63.1,52.4,26.8,23.4,30.4
2019-WY,77.2,75.0,76.1,29.4,31.5,30.5,6.6,6.8,6.7,2.7,2.8,2.8,2.4,3.1,2.7,2.2,4.5,6.6,5.9,7.5,6.6,18.4,17.9,18.9,57.2,60.2,54.2,24.4,21.9,26.9
