Year-State,Inactive-Female,Inactive-Male,Inactive-Overall,Obese-Female,Obese-Male,Obese-Overall,Diabetic-Female,Diabetic-Male,Diabetic-Overall,Stroke-Female,Stroke-Male,Stroke-Overall,Coronary Disease-Female,Coronary Disease-Male,Coronary Disease-Overall,Heart Attack-Female,Heart Attack-Male,Heart Attack-Overall,Major CV Disease-Female,Major CV Disease-Male,Major CV Disease-Overall,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2011-SD,76.5,71.1,73.8,27.1,31.0,29.0,6.5,10.8,8.6,2.5,2.0,2.3,2.7,5.1,3.8,2.5,6.7,8.1,6.3,10.1,8.1,23.0,21.7,24.4,51.5,56.4,46.6,25.5,21.9,29.0
2011-TN,63.6,67.7,65.6,31.2,28.5,29.9,10.2,10.5,10.3,4.1,2.9,3.5,3.0,6.3,4.6,3.0,6.8,9.1,7.8,10.7,9.1,23.0,21.3,24.8,53.2,56.9,49.2,23.8,21.8,25.9
2011-TX,71.8,73.9,72.8,30.8,32.0,31.3,9.4,11.4,10.3,2.8,2.6,2.7,3.4,5.2,4.2,3.0,5.5,7.5,6.4,8.8,7.5,19.2,15.0,23.6,59.0,67.6,50.3,21.7,17.4,26.2
2011-UT,80.0,81.0,80.5,24.1,27.5,25.9,6.8,8.0,7.4,2.7,2.4,2.5,2.3,4.6,3.4,2.0,5.2,6.9,5.4,8.5,6.9,11.8,9.6,14.1,72.2,78.8,65.6,16.0,11.6,20.3
2011-VT,80.9,78.4,79.7,23.7,27.7,25.8,6.2,7.4,6.8,2.4,2.1,2.3,2.6,4.3,3.4,2.7,5.0,6.8,5.8,7.9,6.8,19.1,16.5,21.8,50.1,53.8,46.3,30.8,29.7,31.9
2011-VA,74.2,76.6,75.4,29.0,30.3,29.6,9.9,9.9,9.9,3.2,2.7,3.0,2.9,4.4,3.6,2.6,5.2,7.7,6.8,9.0,7.7,20.9,20.5,21.3,55.5,58.8,52.0,23.6,20.7,26.7
2011-WA,78.2,78.3,78.2,25.5,28.7,27.1,7.8,9.2,8.5,2.4,2.2,2.3,2.6,4.8,3.6,2.1,5.1,6.8,5.4,8.3,6.8,17.5,16.2,18.8,56.5,61.1,51.8,26.0,22.7,29.4
2011-WV,64.6,68.2,66.3,35.3,31.2,33.1,10.8,10.8,10.8,3.3,3.4,3.3,4.9,6.9,5.8,3.7,7.2,10.6,9.0,12.5,10.6,28.6,25.9,31.5,47.9,54.9,40.4,23.5,19.2,28.1
2011-WI,79.0,77.4,78.2,25.8,30.1,28.0,7.9,7.4,7.6,2.4,2.2,2.3,2.4,4.8,3.5,2.2,5.2,6.7,5.3,8.3,6.7,20.9,19.1,22.7,52.9,58.2,47.5,26.2,22.7,29.8
2011-WY,76.5,73.8,75.1,24.3,26.8,25.5,7.6,8.1,7.8,3.1,2.4,2.7,2.6,4.2,3.4,3.0,5.6,7.3,6.3,8.3,7.3,23.0,21.8,24.2,50.8,55.6,46.2,26.2,22.6,29.6
2012-AL,70.4,76.7,73.4,34.9,32.2,33.6,10.5,11.6,11.0,4.0,4.4,4.2,3.7,6.4,4.9,3.5,7.0,10.4,8.7,12.4,10.4,23.8,21.4,26.4,53.1,59.5,46.3,23.1,19.2,27.4
2012-AK,79.7,82.9,81.4,26.5,27.4,27.0,7.5,6.9,7.2,3.0,2.4,2.7,3.1,3.8,3.4,1.8,4.5,6.5,5.8,7.2,6.5,20.5,18.8,22.1,53.8,57.9,50.0,25.7,23.3,27.9
2012-AZ,76.8,79.5,78.1,26.9,26.9,26.9,9.5,10.8,10.2,2.6,2.8,2.7,2.9,4.6,3.7,3.1,5.8,7.8,6.3,9.4,7.8,17.1,14.7,19.6,56.0,62.7,49.1,26.9,22.6,31.3
2012-AR,67.1,71.1,69.0,36.3,33.9,35.1,10.7,10.2,10.4,4.0,3.4,3.7,4.5,6.4,5.4,4.3,6.4,10.2,9.3,11.4,10.2,25.0,22.8,27.5,50.8,56.9,44.3,24.1,20.4,28.2
2012-CA,79.1,82.7,80.9,24.5,26.8,25.6,8.7,10.6,9.6,2.1,2.5,2.3,2.5,4.3,3.3,2.0,4.2,6.5,5.3,7.9,6.5,12.6,10.1,15.2,63.6,70.1,56.9,23.8,19.9,27.9
2012-CO,82.1,84.2,83.1,20.2,21.6,20.9,6.2,8.1,7.1,2.1,1.4,1.8,2.0,3.9,2.9,1.7,4.0,5.5,4.5,6.7,5.5,17.7,16.3,19.2,56.0,60.8,51.0,26.3,22.9,29.8
2012-CT,77.8,79.6,78.6,24.6,28.0,26.3,6.6,9.9,8.2,1.7,2.1,1.9,2.2,4.7,3.3,1.9,4.8,6.1,4.4,8.0,6.1,16.0,13.7,18.5,55.3,58.9,51.5,28.7,27.4,30.1
2012-DE,74.9,80.1,77.4,28.4,27.1,27.7,7.6,9.8,8.6,3.0,3.0,3.0,3.7,5.2,4.4,3.3,5.8,8.6,7.4,10.1,8.6,19.7,18.9,20.7,53.4,57.4,49.0,26.9,23.7,30.3
2012-DC,81.9,81.9,81.9,27.0,19.1,23.2,8.9,9.0,8.9,4.0,3.2,3.5,2.7,4.2,3.4,2.8,4.1,8.0,8.1,8.0,8.0,19.6,17.0,22.6,59.5,64.9,53.3,20.9,18.1,24.1
2012-FL,75.2,80.4,77.7,25.2,26.9,26.0,9.0,10.9,9.9,3.0,2.4,2.7,4.4,5.5,4.9,4.3,5.5,8.5,8.0,9.1,8.5,17.7,15.8,19.7,54.5,60.7,47.9,27.8,23.5,32.5
2012-GA,74.7,78.7,76.6,31.5,28.2,29.8,9.4,9.8,9.5,3.1,3.2,3.1,3.3,5.6,4.4,2.8,5.5,8.4,7.1,10.0,8.4,20.4,17.4,23.5,58.5,65.7,50.7,21.1,16.8,25.8
2012-HI,78.6,85.5,82.0,21.4,28.1,24.8,6.7,7.2,7.0,2.4,2.7,2.6,2.0,2.9,2.4,2.3,3.6,5.8,5.0,6.6,5.8,14.6,11.6,17.5,59.8,66.7,52.9,25.6,21.7,29.6
2012-ID,80.2,80.5,80.3,26.5,28.1,27.4,7.1,8.4,7.7,2.5,2.4,2.4,2.3,4.3,3.3,2.1,4.4,6.7,5.4,8.1,6.7,16.4,16.6,16.3,59.3,61.0,57.5,24.3,22.4,26.2
2012-IL,77.4,80.0,78.6,28.5,29.1,28.7,7.6,10.1,8.8,2.1,2.9,2.5,2.5,5.6,3.9,2.6,5.6,7.3,5.4,9.4,7.3,18.6,16.2,21.1,57.0,63.2,50.4,24.4,20.6,28.5
2012-IN,73.6,76.1,74.8,31.4,32.8,32.1,9.6,10.6,10.1,2.9,3.2,3.1,4.0,5.9,4.9,3.0,6.0,8.7,7.5,10.1,8.7,24.0,21.6,26.5,52.4,58.8,45.6,23.7,19.6,28.0
2012-IA,78.3,77.7,78.0,29.9,32.0,31.0,7.8,9.6,8.7,2.2,3.0,2.6,2.6,5.2,3.9,2.9,5.8,7.4,5.5,9.5,7.4,18.1,16.5,19.8,56.9,62.9,50.5,25.0,20.6,29.7
2012-KS,75.6,79.5,77.5,30.1,31.1,30.6,8.2,9.4,8.8,2.4,2.9,2.7,3.1,5.1,4.0,2.6,5.7,7.7,6.1,9.5,7.7,19.4,17.7,21.1,56.9,61.5,52.1,23.8,20.8,26.8
2012-KY,69.7,73.1,71.3,31.8,32.0,31.9,9.5,10.0,9.7,3.7,4.1,3.9,4.6,6.4,5.4,4.3,7.8,10.8,9.2,12.5,10.8,28.3,26.1,30.6,46.2,52.7,39.4,25.5,21.2,30.0
2012-LA,66.8,74.2,70.4,36.6,34.5,35.6,11.8,11.4,11.5,3.7,3.7,3.7,4.1,5.0,4.5,3.8,5.3,9.6,8.9,10.4,9.6,24.8,21.1,28.6,53.4,60.4,45.8,21.9,18.5,25.5
2012-ME,80.6,80.1,80.4,26.7,30.6,28.7,7.8,8.6,8.2,2.5,2.4,2.4,2.7,5.5,4.0,2.7,5.7,7.6,6.1,9.3,7.6,20.3,17.8,23.0,48.6,53.1,43.7,31.1,29.2,33.2
2012-MD,74.8,80.4,77.5,28.7,26.8,27.8,9.3,9.5,9.4,2.8,1.9,2.4,2.6,4.9,3.6,2.4,4.7,6.9,5.9,8.2,6.9,16.2,14.9,17.5,60.4,64.0,56.5,23.4,21.1,26.0
2012-MA,79.6,82.0,80.7,21.5,24.9,23.2,6.9,8.5,7.7,1.6,2.1,1.8,2.1,5.1,3.5,2.1,4.9,6.3,4.4,8.5,6.3,16.4,14.8,18.0,55.9,58.4,53.2,27.7,26.8,28.8
2012-MI,75.6,79.0,77.3,31.1,33.1,32.2,8.4,10.6,9.4,3.0,3.2,3.1,3.0,5.9,4.4,2.8,6.5,8.6,6.8,10.6,8.6,23.3,22.8,23.8,50.9,54.2,47.4,25.8,23.0,28.8
2012-MN,82.2,83.5,82.8,24.2,28.0,26.1,6.0,7.7,6.8,1.9,2.5,2.2,2.1,4.4,3.2,2.2,5.1,6.3,4.6,8.2,6.3,18.8,16.0,21.7,54.0,59.2,48.7,27.2,24.8,29.6
2012-MS,66.9,72.7,69.7,38.4,32.5,35.4,12.0,11.6,11.8,4.1,4.0,4.0,4.4,5.2,4.8,3.4,7.0,10.2,9.1,11.6,10.2,24.0,21.0,27.3,55.3,62.7,47.2,20.7,16.3,25.5
2012-MO,73.3,78.8,76.0,30.5,30.5,30.4,8.9,10.8,9.8,3.4,2.9,3.1,3.3,5.6,4.4,3.2,5.9,8.6,7.4,10.1,8.6,23.9,21.8,26.2,52.2,56.5,47.6,23.9,21.7,26.3
2012-MT,81.9,79.0,80.5,23.6,25.4,24.5,5.7,6.9,6.3,2.3,3.0,2.7,2.1,4.1,3.1,2.3,5.2,7.0,5.1,8.9,7.0,19.7,18.8,20.6,53.1,57.1,49.0,27.2,24.1,30.5
2012-NE,79.4,79.9,79.6,28.8,29.7,29.2,7.0,8.0,7.5,1.9,2.5,2.2,2.5,4.6,3.5,2.4,5.0,6.9,5.2,8.8,6.9,19.7,18.1,21.4,55.9,61.0,50.5,24.4,20.9,28.1
2012-NV,77.0,81.3,79.1,26.1,27.2,26.7,8.1,8.7,8.4,3.0,2.7,2.8,3.3,4.6,3.9,3.0,5.4,8.0,7.2,9.0,8.0,18.1,16.4,19.9,57.4,62.0,52.8,24.5,21.6,27.4
2012-NH,80.3,81.7,81.0,25.6,29.0,27.3,6.9,8.9,7.9,1.5,2.5,2.0,2.6,4.6,3.6,2.2,5.2,6.5,4.7,8.5,6.5,17.2,14.5,20.0,51.3,55.3,47.1,31.6,30.3,32.9
2012-NJ,73.9,77.7,75.7,23.0,26.3,24.7,7.6,9.2,8.4,2.1,2.0,2.0,2.5,4.9,3.6,2.4,4.6,6.6,5.3,8.2,6.6,17.3,14.6,20.3,57.2,61.9,52.1,25.5,23.5,27.7
2012-NM,76.8,80.9,78.8,28.9,27.8,28.4,8.8,10.0,9.4,2.4,2.8,2.6,2.8,4.3,3.5,2.5,5.3,7.0,5.7,8.3,7.0,19.3,16.7,22.0,55.8,62.9,48.3,24.9,20.4,29.7
2012-NY,73.3,78.6,75.8,23.0,25.2,24.1,7.7,10.3,8.9,2.2,2.6,2.4,3.1,5.4,4.2,2.4,5.2,7.1,6.0,8.5,7.1,16.2,13.2,19.5,58.6,65.1,51.4,25.2,21.7,29.1
2012-NC,73.2,78.2,75.6,30.4,30.2,30.3,9.1,10.3,9.7,2.5,3.3,2.9,3.4,4.6,4.0,3.1,5.4,8.1,6.8,9.6,8.1,20.9,19.3,22.6,53.6,59.5,47.2,25.5,21.2,30.2
2012-ND,77.9,75.8,76.7,27.5,33.3,30.5,7.1,8.6,7.8,1.9,2.6,2.2,2.6,4.8,3.7,2.7,5.5,6.8,5.1,8.6,6.8,21.2,18.8,23.6,54.1,59.9,48.4,24.7,21.3,28.0
2012-OH,74.3,77.2,75.7,30.0,30.9,30.5,9.4,11.6,10.4,2.6,2.8,2.7,3.9,5.7,4.7,3.2,6.7,8.6,7.1,10.5,8.6,23.3,21.3,25.4,52.1,57.6,46.1,24.6,21.1,28.5
2012-OK,71.9,72.9,72.4,32.2,33.5,32.8,9.6,11.9,10.7,3.5,3.1,3.3,4.2,5.4,4.7,3.8,6.5,9.2,8.2,10.4,9.2,23.3,22.2,24.4,52.4,58.4,46.0,24.4,19.4,29.6
2012-OR,84.2,84.4,84.3,28.3,27.7,27.9,9.0,9.3,9.1,3.0,2.9,2.9,3.0,5.4,4.1,2.7,4.9,7.7,6.6,9.1,7.7,17.9,17.1,18.7,54.4,58.8,49.8,27.8,24.1,31.5
2012-PA,76.1,79.6,77.8,29.7,29.0,29.3,8.6,9.5,9.0,2.4,2.7,2.6,2.9,5.8,4.2,2.7,5.9,7.9,6.0,10.0,7.9,21.4,19.7,23.2,53.2,58.4,47.5,25.5,22.0,29.3
2012-RI,75.8,79.0,77.3,23.7,28.5,26.1,8.2,9.7,8.9,2.2,2.2,2.1,2.6,5.5,3.9,3.0,6.3,7.5,5.7,9.7,7.5,17.4,16.2,18.8,54.9,57.8,51.8,27.6,26.0,29.5
2012-SC,72.0,79.1,75.4,34.1,30.7,32.4,10.6,10.7,10.6,3.2,3.5,3.3,3.9,5.4,4.6,3.2,6.2,9.0,7.6,10.6,9.0,22.5,19.1,26.2,51.8,58.5,44.5,25.6,22.3,29.2
2012-SD,80.6,76.4,78.5,28.0,29.0,28.5,7.2,7.0,7.1,2.4,2.1,2.3,2.2,4.7,3.4,2.0,6.0,7.1,5.4,9.0,7.1,22.0,19.3,24.7,51.6,56.7,46.3,26.5,24.0,29.0
2012-TN,69.9,75.0,72.4,33.2,31.0,32.0,10.7,11.1,10.8,3.4,3.3,3.3,5.2,7.8,6.4,3.7,8.4,10.9,9.4,12.7,10.9,24.9,22.7,27.2,51.0,57.4,44.0,24.2,19.9,28.8
2012-TX,71.2,74.6,72.8,30.8,29.1,29.9,10.0,11.4,10.7,2.4,3.0,2.7,2.6,5.4,3.9,2.4,5.2,7.4,5.7,9.3,7.4,18.2,13.1,23.4,60.4,69.6,50.9,21.4,17.3,25.7
2012-UT,81.6,84.4,83.0,25.7,26.2,25.9,7.4,8.3,7.8,2.4,2.0,2.2,2.0,3.8,2.9,2.1,4.0,6.1,5.3,7.1,6.1,10.6,9.2,11.9,72.9,78.5,67.2,16.5,12.3,20.9
2012-VT,84.3,83.7,84.0,22.6,24.3,23.4,6.1,6.5,6.2,2.2,1.9,2.1,2.4,4.4,3.4,2.3,4.9,6.4,5.1,7.9,6.4,16.5,14.8,18.2,52.8,56.2,49.1,30.8,29.0,32.6
2012-VA,76.1,79.9,77.9,27.6,28.2,27.9,9.9,10.0,10.0,2.9,2.9,2.9,2.9,5.8,4.3,2.8,5.8,7.9,6.4,9.7,7.9,19.0,16.6,21.6,57.2,62.7,51.4,23.8,20.8,27.0
2012-WA,80.6,82.1,81.3,26.9,27.7,27.3,8.2,8.3,8.2,2.2,2.3,2.3,2.6,4.3,3.4,2.3,4.2,6.5,5.6,7.6,6.5,17.2,15.7,18.7,56.3,60.8,51.6,26.6,23.5,29.7
2012-WV,67.2,74.1,70.6,33.1,34.4,33.8,11.3,11.1,11.2,4.0,3.2,3.6,6.8,7.8,7.3,4.6,7.9,12.6,11.6,13.6,12.6,28.2,27.6,28.7,46.5,51.8,41.0,25.3,20.6,30.3
2012-WI,79.8,81.1,80.5,29.1,29.9,29.4,7.2,7.9,7.5,1.9,2.6,2.2,2.5,4.7,3.5,2.0,6.1,6.9,4.5,9.6,6.9,20.4,19.5,21.3,52.7,56.3,48.8,27.0,24.2,29.8
2012-WY,78.2,80.6,79.4,27.6,23.4,25.3,7.5,9.4,8.4,2.2,2.1,2.1,2.5,4.6,3.5,2.8,5.9,7.1,5.6,8.6,7.1,21.8,18.9,24.6,53.6,60.2,47.1,24.7,20.9,28.3
2013-AL,65.3,73.7,69.3,34.7,31.8,33.2,12.5,12.7,12.6,4.5,4.0,4.2,4.0,5.5,4.7,3.6,7.1,10.6,9.0,12.4,10.6,21.5,18.2,25.1,55.1,62.5,47.1,23.4,19.3,27.9
2013-AK,78.3,77.1,77.7,27.9,30.3,29.1,6.7,7.6,7.2,2.2,2.3,2.3,2.3,4.3,3.3,2.0,4.2,6.5,5.1,7.8,6.5,22.6,22.2,22.9,50.7,53.4,48.2,26.7,24.4,28.9
2013-AZ,73.2,76.7,75.1,28.2,27.5,27.8,8.9,11.1,10.0,2.8,2.3,2.6,2.9,4.5,3.7,2.8,5.3,8.1,7.0,9.4,8.1,16.3,13.5,19.3,57.6,64.0,51.0,26.0,22.5,29.7
2013-AR,64.7,68.4,66.4,35.2,35.7,35.4,9.2,11.7,10.4,3.7,4.4,4.0,4.2,5.1,4.6,3.4,5.7,9.7,8.9,10.7,9.7,25.9,25.2,26.7,49.1,56.2,41.4,25.0,18.5,31.9
2013-CA,78.5,79.1,78.8,23.6,25.8,24.7,9.6,10.2,9.9,1.8,2.4,2.1,1.9,4.2,3.0,2.2,4.5,6.3,4.8,7.9,6.3,12.5,9.1,16.1,64.7,72.0,57.1,22.8,19.0,26.8
2013-CO,81.7,82.8,82.2,22.2,21.1,21.6,5.4,7.1,6.2,1.8,1.7,1.7,1.7,3.2,2.4,1.9,4.1,5.4,4.4,6.5,5.4,17.7,16.4,19.0,56.1,60.4,51.8,26.2,23.2,29.2
2013-CT,74.3,77.3,75.8,24.4,26.0,25.1,6.4,8.3,7.3,2.2,1.8,2.0,2.5,4.5,3.4,2.2,4.6,6.5,5.6,7.7,6.5,15.5,14.3,16.8,56.3,59.1,53.3,28.2,26.6,29.9
2013-DE,70.6,75.4,72.9,32.1,31.0,31.6,10.1,10.1,10.1,3.3,2.8,3.0,3.4,4.8,4.0,2.9,4.4,8.0,7.2,8.9,8.0,19.6,17.3,22.0,55.0,59.3,50.3,25.4,23.3,27.7
2013-DC,77.7,83.2,80.1,26.9,21.4,24.2,9.2,7.7,8.5,3.7,3.0,3.4,2.6,3.1,2.8,4.4,4.2,7.9,8.3,7.6,7.9,18.8,14.7,23.4,59.8,66.0,52.8,21.4,19.3,23.8
2013-FL,70.8,75.5,73.1,25.9,27.9,26.9,8.2,10.5,9.3,3.1,3.2,3.1,3.0,5.3,4.1,3.2,6.2,8.4,7.1,10.0,8.4,16.8,14.4,19.5,55.0,60.7,48.9,28.1,24.9,31.6
2013-GA,69.3,77.2,73.1,31.9,29.4,30.6,11.1,9.7,10.4,3.1,2.3,2.7,2.9,4.4,3.6,3.0,4.6,7.4,7.1,7.8,7.4,18.8,15.4,22.6,60.5,67.6,52.9,20.6,17.0,24.5
2013-HI,75.1,81.6,78.4,19.7,25.7,22.7,7.1,7.7,7.4,2.1,2.6,2.3,1.4,3.2,2.3,1.4,4.4,5.6,4.0,7.3,5.6,13.3,11.0,15.7,59.4,65.6,53.1,27.3,23.3,31.2
2013-ID,77.0,76.1,76.5,28.1,31.8,30.1,6.7,8.9,7.8,2.3,1.9,2.1,2.4,4.1,3.2,2.0,4.8,6.3,5.3,7.5,6.3,17.2,15.0,19.4,58.2,63.9,52.3,24.7,21.0,28.3
2013-IL,73.9,77.0,75.4,31.2,28.4,29.9,9.2,9.2,9.2,2.5,2.8,2.7,3.0,4.3,3.6,2.7,5.2,7.5,6.4,8.9,7.5,18.0,15.0,21.2,57.2,62.1,51.9,24.8,22.8,26.9
2013-IN,67.7,71.6,69.6,33.3,31.5,32.4,9.1,11.0,10.0,2.7,2.8,2.7,3.0,4.9,3.9,3.2,6.4,8.2,6.9,9.8,8.2,21.9,20.4,23.5,52.9,57.7,47.8,25.2,21.9,28.7
2013-IA,73.2,71.7,72.3,30.4,33.1,31.8,8.1,8.5,8.3,2.4,2.6,2.5,2.8,5.2,3.9,2.5,5.7,7.3,5.6,9.2,7.3,19.5,16.6,22.5,56.1,62.2,49.9,24.4,21.2,27.7
2013-KS,73.8,74.0,73.9,30.1,31.4,30.7,8.4,9.4,8.8,2.5,3.0,2.7,2.8,4.9,3.8,2.5,5.2,7.6,6.1,9.2,7.6,20.0,17.8,22.3,55.9,61.8,49.8,24.0,20.4,27.8
2013-KY,69.6,71.8,70.7,33.9,33.6,33.7,9.4,10.0,9.7,3.9,3.7,3.8,4.5,6.6,5.4,3.7,7.3,10.6,8.9,12.5,10.6,26.5,24.6,28.4,47.5,52.7,42.2,26.0,22.7,29.4
2013-LA,65.4,71.5,68.3,35.9,32.3,34.2,11.7,10.1,10.9,3.1,4.4,3.8,4.3,4.9,4.6,3.2,6.9,10.0,8.4,11.9,10.0,23.5,20.0,27.3,53.9,61.5,45.6,22.6,18.4,27.1
2013-ME,78.6,77.6,78.1,29.0,28.8,28.9,7.3,8.9,8.0,1.6,2.4,2.0,2.5,5.4,3.9,2.8,5.6,7.0,5.2,8.9,7.0,20.2,18.2,22.4,48.7,53.1,44.0,31.1,28.7,33.6
2013-MD,73.6,77.2,75.3,29.4,28.1,28.7,9.1,9.2,9.1,2.9,2.7,2.8,2.2,4.0,3.0,2.5,4.6,7.1,6.2,8.1,7.1,16.4,13.7,19.4,61.3,66.8,55.2,22.3,19.5,25.4
2013-MA,76.2,78.2,77.1,21.7,26.2,23.9,7.2,8.4,7.7,1.9,2.5,2.2,2.2,3.8,2.9,2.5,4.6,6.2,5.1,7.6,6.2,16.6,14.7,18.7,56.1,59.6,52.4,27.2,25.7,28.8
2013-MI,75.8,76.8,76.3,32.3,31.8,32.0,8.5,10.1,9.3,3.1,3.4,3.2,3.0,6.2,4.5,3.1,6.1,8.8,6.9,10.9,8.8,21.4,18.3,24.7,51.6,57.7,45.1,27.0,24.0,30.2
2013-MN,77.6,76.6,77.1,24.5,27.7,26.1,6.3,7.4,6.8,1.7,2.0,1.9,2.1,3.5,2.8,1.9,3.4,5.7,4.6,6.8,5.7,18.0,16.7,19.4,54.2,57.3,50.9,27.8,26.0,29.7
2013-MS,58.5,67.0,62.6,37.6,34.1,35.8,12.5,11.4,12.0,4.4,3.8,4.1,4.0,5.1,4.5,3.4,6.0,9.5,8.9,10.1,9.5,24.8,22.0,28.0,53.7,61.4,45.3,21.4,16.6,26.8
2013-MO,72.4,72.4,72.3,30.4,31.4,31.0,8.9,8.4,8.7,3.0,2.8,2.9,3.0,5.2,4.0,2.9,6.9,8.6,6.9,10.6,8.6,22.1,20.1,24.3,52.7,57.6,47.5,25.2,22.4,28.2
2013-MT,80.0,77.0,78.4,23.2,26.8,25.1,5.9,7.4,6.7,2.7,2.7,2.7,2.0,3.7,2.9,2.6,4.9,6.9,5.8,8.1,6.9,19.0,17.3,20.7,54.2,58.1,50.3,26.8,24.6,29.0
2013-NE,76.4,73.8,75.1,28.7,31.3,30.0,7.5,9.5,8.5,2.4,2.1,2.2,2.6,4.8,3.6,2.4,4.9,6.9,5.6,8.4,6.9,18.5,17.2,19.8,56.9,62.6,50.9,24.7,20.3,29.3
2013-NV,73.9,80.1,76.9,26.9,27.0,27.0,8.1,10.0,9.0,2.6,2.6,2.6,2.6,3.6,3.1,3.3,4.9,7.6,7.0,8.3,7.6,19.4,18.1,20.6,58.1,61.0,55.3,22.5,20.9,24.1
2013-NH,77.6,79.1,78.3,25.0,28.7,26.9,6.9,9.3,8.0,2.0,1.9,2.0,2.4,4.7,3.5,2.1,4.8,6.3,4.9,7.9,6.3,16.2,15.8,16.7,52.7,55.1,50.2,31.0,29.0,33.1
2013-NJ,70.7,76.9,73.6,25.2,28.2,26.7,7.2,9.6,8.3,2.3,2.2,2.3,2.6,4.2,3.3,2.6,4.7,7.1,6.0,8.3,7.1,15.7,13.9,17.5,58.6,62.2,54.7,25.8,23.9,27.7
2013-NM,74.6,77.2,75.8,28.7,26.5,27.6,9.8,10.1,9.9,2.2,2.3,2.2,2.1,3.5,2.8,2.5,4.7,6.2,5.2,7.4,6.2,19.1,16.2,22.2,55.5,62.7,48.0,25.4,21.2,29.8
2013-NY,72.4,75.3,73.8,26.1,25.4,25.8,9.9,9.7,9.8,2.3,2.2,2.2,3.1,4.9,3.9,3.1,5.6,7.6,6.3,9.1,7.6,16.6,14.1,19.3,58.4,63.7,52.5,25.0,22.1,28.2
2013-NC,72.6,75.4,74.0,30.8,29.2,29.9,10.2,10.8,10.4,3.5,3.2,3.4,3.4,5.1,4.1,3.1,5.3,8.6,7.5,10.0,8.6,20.3,17.3,23.4,54.7,61.9,46.8,25.1,20.7,29.7
2013-ND,73.0,72.5,72.8,28.9,34.8,32.0,7.1,9.7,8.4,2.2,2.3,2.2,2.9,4.5,3.6,2.0,5.5,6.9,5.4,8.6,6.9,21.2,19.4,22.9,53.7,60.0,47.4,25.1,20.6,29.7
2013-OH,71.7,73.3,72.4,31.3,30.4,30.8,8.8,9.5,9.1,3.3,3.3,3.3,3.1,4.9,3.9,3.0,6.4,8.4,7.0,10.1,8.4,23.4,22.6,24.1,51.4,54.9,47.6,25.3,22.5,28.3
2013-OK,66.9,68.7,67.8,32.7,33.5,33.1,9.0,11.5,10.2,3.2,3.0,3.1,3.7,5.6,4.5,3.5,6.6,8.8,7.5,10.4,8.8,23.7,21.7,25.8,51.8,56.7,46.6,24.5,21.6,27.6
2013-OR,83.0,80.8,81.9,25.2,28.7,27.0,7.7,9.0,8.3,2.0,3.4,2.7,2.9,5.1,4.0,2.0,4.8,7.4,5.2,9.7,7.4,17.3,16.0,18.7,55.4,59.0,51.6,27.3,25.0,29.7
2013-PA,73.4,76.3,74.8,29.4,30.5,30.0,8.7,9.1,8.8,2.9,2.7,2.8,3.3,5.2,4.1,2.8,5.6,8.1,6.9,9.6,8.1,21.0,18.6,23.5,53.1,58.7,47.0,26.0,22.7,29.5
2013-RI,72.6,75.1,73.8,26.5,29.5,28.0,7.2,9.7,8.3,2.2,2.6,2.4,2.4,4.9,3.5,2.7,6.2,7.3,5.7,9.3,7.3,17.4,15.9,19.1,54.0,57.2,50.5,28.6,26.9,30.4
2013-SC,71.6,76.3,73.9,34.5,31.2,32.9,11.6,10.7,11.2,3.3,3.5,3.4,3.2,5.3,4.2,2.6,6.1,8.5,6.9,10.3,8.5,22.0,18.1,26.2,52.7,59.5,45.4,25.3,22.4,28.4
2013-SD,79.3,74.3,76.7,28.1,33.6,31.0,8.1,8.3,8.1,2.3,2.6,2.4,3.1,5.1,4.0,2.8,6.2,8.3,6.6,10.2,8.3,19.6,19.4,19.7,53.1,57.9,48.2,27.4,22.7,32.1
2013-TN,61.3,65.6,63.3,35.5,33.3,34.3,10.9,11.6,11.2,3.7,3.4,3.6,4.5,6.7,5.5,4.1,8.2,11.0,9.5,12.8,11.0,24.3,22.0,26.8,51.6,57.4,45.3,24.1,20.6,27.9
2013-TX,66.7,73.4,70.1,32.8,30.5,31.6,10.0,11.9,10.9,2.4,2.6,2.5,2.8,4.1,3.4,3.0,5.0,7.1,6.1,8.3,7.1,15.9,13.1,18.7,62.1,68.8,55.1,22.0,18.1,26.2
2013-UT,78.3,80.1,79.2,25.1,26.1,25.6,7.2,8.3,7.7,2.4,2.0,2.2,2.1,3.9,3.0,2.0,4.5,6.3,5.1,7.6,6.3,10.3,8.8,11.9,72.4,78.1,66.6,17.3,13.1,21.6
2013-VT,81.3,79.9,80.6,24.5,26.0,25.2,6.1,7.4,6.7,1.8,2.8,2.3,1.9,4.3,3.0,2.3,4.7,6.6,4.9,8.5,6.6,16.6,15.4,17.9,53.5,55.9,51.0,29.9,28.7,31.1
2013-VA,72.3,77.9,75.0,27.1,27.6,27.4,8.8,9.6,9.2,2.9,2.1,2.5,3.1,4.2,3.6,3.1,3.8,7.0,6.8,7.3,7.0,19.0,16.7,21.6,57.2,62.8,51.2,23.8,20.6,27.2
2013-WA,80.3,80.5,80.4,27.8,27.1,27.4,7.3,8.6,7.9,2.4,2.3,2.3,2.4,4.4,3.4,2.1,5.0,6.8,5.4,8.4,6.8,16.1,14.3,17.8,57.6,62.2,52.9,26.4,23.5,29.3
